Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
414310;4,85981E+12;SAÃƒÅ¡DE BRB - CAIXA DE ASSISTÃƒÅ NCIA ;SAÃƒÅ¡DE BRB;AutogestÃƒÂ£o;SETOR DE AUTARQUIAS NORTE ;QUADRA 5;LOTE C,  TORRE B,  3Ã‚Âº ANDAR - CENTRO EMP;ASA NORTE;BrasÃƒÂ­lia;DF;70040250;61;33251666;30359440;diretorsuperintendente@saudebrb.com.br;ELIANE DE FÃƒÂTIMA MONTEIRO;DIRETORA SUPERINTENDENTE;4;07/05/2002
423394;2,12E+13;SAÃƒÅ¡DE PLENA ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA;;Administradora de BenefÃƒÂ­cios;Rua Francisco de Assis;555;Apto 301;Recreio Dos Bandeirantes;Rio de Janeiro;RJ;22790530;34;98636348;;contato@admpersona.com.br;CAMILA SANTOS RODRIGUES;Administradora;6;21/11/2022
414930;5,02906E+12;SAÃƒÅ¡DE SANTA TEREZA LTDA.;;Medicina de Grupo;RUA JOSÃƒâ€° PAULINO;1248;ANDAR 8 CONJUNTO 08;CENTRO;Campinas;SP;13013001;19;37334330;37334332;ggprado@terra.com.br;GUILHERME DE MEDEIROS PRADO;DIRETOR;5;17/08/2004
412058;3,97759E+12;SBC SAÃƒÅ¡DE LTDA.;SBC SAÃƒÅ¡DE ;Medicina de Grupo;RUA BLUMENAU;354;;VILA LEOPOLDINA;SÃƒÂ£o Paulo;SP;5319020;11;26598730;;sbc@saudesbc.com.br;OSWALDO MASSUO AKIMOTO ;SÃƒâ€œCIO-ADMINISTRADOR;4;29/08/2000
421634;2,90E+13;SD-M OPERADORA DE PLANOS DE SAUDE LTDA;;Medicina de Grupo;ESTRADA INTENDENTE MAGALHÃƒÆ’ES;476;;OSWALDO CRUZ;Rio de Janeiro;RJ;21331720;21;24531545;;operadora@sdmoperadora.com.br;LISLEY DOS REIS PAULO;ADMINISTRADORA;4;11/03/2019
358053;3,70E+13;SELECT OPERADORA DE PLANO DE SAUDE LTDA;SELECT;Medicina de Grupo;RUA 9A;304;QD 18A LT 09;SETOR AEROPORTO;GoiÃƒÂ¢nia;GO;74075250;62;32242808;32125833;planmed@planmed.com.br;AUGUSTO CESAR RAMOS DE ARAUJO;SOCIO/ADMINISTRADOR;5;30/12/1998
414654;4,22224E+12;SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA;SEMPRE ODONTO;Odontologia de Grupo;RUA EVARISTO DA VEIGA;55;SALAS 2401 A 2407;CENTRO;Rio de Janeiro;RJ;20031040;21;22726200;;eliseu@sempreodonto.com.br;ELISEU BATISTA DOS SANTOS;SÃƒâ€œCIO;4;10/10/2003
407224;3,21936E+12;SEPACO SAÃƒÅ¡DE LTDA;SEPACO SAUDE;Medicina de Grupo;RUA VERGUEIRO;4210;1Ã‚Âº ANDAR;VILA MARIANA;SÃƒÂ£o Paulo;SP;4102900;11;21824676;21824677;produtoseregulacao@sepaco.org.br;LUCI MEIRE PIVELLI USBERCO;ADMINISTRADORA;4;11/08/1999
303739;6,49E+13;SERMED-SAÃƒÅ¡DE LTDA.;;Medicina de Grupo;Rua Dr. Olidair AmbrÃƒÂ³sio;1636;;Centro;SertÃƒÂ£ozinho;SP;14160170;16;39451212;;legislacao@sermedsaude.com.br;MANOEL RUBENS PORTO FILHO;DIRETOR FINANCEIRO;5;16/12/1998
424188;5,06E+13;SERV  SOCIAL AUTÃƒâ€NOMO DE ASSIST Ãƒâ‚¬ SAÃƒÅ¡DE DOS SERV PÃƒÅ¡BLICOS E MILITARES DE GOIÃƒÂS;IPASGO SAÃƒÅ¡DE;AutogestÃƒÂ£o;Av. Primeira Radial;586;;Set Pedro Ludovico;GoiÃƒÂ¢nia;GO;74820300;62;32382662;;presidencia@ipasgo.go.gov.br;BRUNO MAGALHÃƒÆ’ES DÃ‚Â¿ABADIA;Presidente;;01/10/2024
414701;5,77498E+12;SERVDONTO - PLANO DE ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA LTDA;SERVDONTO;Odontologia de Grupo;RUA CEDRO;202;LOJA 01;SÃƒÆ’O JOSÃƒâ€°;Aracaju;SE;49020170;;;;informatica@servdonto.com.br;HELCIO CASTRO PEREIRA;DIRETOR;2;31/10/2003
417602;1,05E+13;SERVIX ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA;SERVIX;Administradora de BenefÃƒÂ­cios;QUADRA CSG;13;LOTES 17,18 E 19 TERREO;TAGUATINGA;BrasÃƒÂ­lia;DF;72035513;61;32989000;;pedro.lima@servixsaude.com.br;IVONETE PIRES DE MORAIS ALECRIM;Representante;4;04/11/2010
324710;2,42248E+12;SERVIÃƒâ€¡O DE ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA SOCIAL LTDA.;SAOS;Odontologia de Grupo;RUA SÃƒÆ’O BENTO;347;1Ã‚Âº ANDAR;CENTRO;Sorocaba;SP;18010030;11;40292699;;financeiro@saos.com.br;CARLOS EUGÃƒÅ NIO PORTO BRAGA;SOCIO ADMINISTRADOR;6;21/12/1998
345474;3,37E+13;SERVIÃƒâ€¡O FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO);SERPRO;AutogestÃƒÂ£o;"SGAN QUADRA 601 - MÃƒâ€œDULO ""V"" - 1Ã‚Âº ANDAR ";601;;ASA NORTE;BrasÃƒÂ­lia;DF;70836900;61;20218402;20217768;geoffrey.cordeiro@serpro.gov.br;TIAGO VIANA BASTOS;REPRESENTANTE;1;22/12/1998
420077;6,10E+13;SERVIÃƒâ€¡O SOCIAL DA INDÃƒÅ¡STRIA DO PAPEL, PAPELÃƒÆ’O E CORTIÃƒâ€¡A DO ESTADO DE SÃƒÆ’O PAULO - SEPACO;SEPACO;AutogestÃƒÂ£o;RUA VERGUEIRO;4210;;VILA MARIANA;SÃƒÂ£o Paulo;SP;4102900;11;21824444;55739804;produtoseregulacao@sepaco.org.br;LUCI MEIRE PIVELLI USBERCO;SUPERINTENDENTE GERAL;4;22/02/2016
423874;5,02E+13;SF SAÃƒÅ¡DE ODONTOMAIS ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA LTDA;SF SAÃƒÅ¡DE ODONTOMAIS;Odontologia de Grupo;RUA MINAS GERAIS;82;;ILHA DO LEITE;Recife;PE;50070400;81;30105505;;administracao@sfodontomais.com.br;RINALDO SOUTO GOMES ÃƒÂLVARO DA COSTA;PRESIDENTE EXECUTIVO SÃƒÅ NI;;08/01/2024
422371;2,7534E+12;SF SISTEMAS DE SAÃƒÅ¡DE LTDA;;Medicina de Grupo;ALAMEDA RIO NEGRO;877;CJ 206 T B ;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6454000;11;46156692;;leandro.colozzi@sagradafamiliasaude.com.br;JOSÃƒâ€° AUGUSTO CAVALCANTI MELO;SÃƒâ€œCIO ADMINISTRADOR E RES;4;03/09/2020
356476;7,98E+13;SIM - CAIXA DE ASSISTÃƒÅ NCIA Ãƒâ‚¬ SAÃƒÅ¡DE;SIM;AutogestÃƒÂ£o;RUA VINTE E QUATRO DE ABRIL;2977;SLJ CENTRO EXECUTIVO PALHOÃƒâ€¡A;CENTRO;PalhoÃƒÂ§a;SC;88131030;48;32169200;;sim@simplanodesaude.com.br;ALFEU LUIZ ABREU;DIRETOR EXECUTIVO;6;21/12/1998
422738;3,92E+13;SIMPLES VR SAÃƒÅ¡DE LTDA;SIMPLES VR SAÃƒÅ¡DE LTDA;Medicina de Grupo;Rua 33;80;Sala 801;Vila Santa CecÃƒÂ­lia;Volta Redonda;RJ;27260010;24;21027007;;exata.ctb@gmail.com;ELAINE DE FATIMA NOGUEIRA;AdministradorA;;19/05/2021
361011;3,6577E+12;SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL;SINDIFISCO NACIONAL;AutogestÃƒÂ£o;SDS CONJUNTO BARACAT, 1Ã‚Âº ANDAR SALAS 1 A;11;;ASA SUL;BrasÃƒÂ­lia;DF;70392900;61;21035205;;saude@unafiscosaude.org.br;ADRIANO LIMA CORRÃƒÅ A;DIRETOR DE PLANO DE SAÃƒÅ¡DE;4;28/12/1998
344095;1,94279E+12;SISDENTE - SISTEMA INTEGRADO DE SAÃƒÅ¡DE DENTAL LTDA.;SISDENTE;Odontologia de Grupo;RUA DR OLAVO GOMES PINTO;160;SALAS 42 E 44;CENTRO;SÃƒÂ£o LourenÃƒÂ§o;MG;37470000;35;33312121;33312121;sisdentesaolourenco@yahoo.com.br;GERALDO MAGELA FREIRE;REPRESENTANTE;6;22/12/1998
423556;4,52E+13;SISO PLANO ODONTOLOGICO LTDA;;Odontologia de Grupo;Rua Cesario Motta;251;;centro;MatÃƒÂ£o;SP;15990050;16;33825566;;siso-siso@hotmail.com;PAULO EDUARDO CORREA;SÃƒâ€œCIO-ADMINISTRADOR;;19/04/2023
418790;1,15E+13;SISTEMA 1 SERVIÃƒâ€¡OS DE ASSISTÃƒÅ NCIA Ãƒâ‚¬ SAÃƒÅ¡DE SUPLEMENTAR;ONEPLAN PLANOS ODONTOLÃƒâ€œGICOS;Odontologia de Grupo;RUA PRUDENTE DE MORAES;220;;VILA ESTRELA;Ponta Grossa;PR;84040150;42;32247373;;rafael@oneplan.com.br;RAFAEL RAZOUK;REPRESENTANTE LEGAL;5;04/03/2013
403865;2,6352E+12;SISTEMA INTEGRADO DE SAUDE ORAL LTDA-EPP;PLANIDENTE;Odontologia de Grupo;RUA CONSELHEIRO DANTAS;57/58;ED. PARAGUASSU-SALA 705;COMERCIO;Salvador;BA;40015070;71;33260070;32414212;gerencia@planidente.com.br;JOSÃƒâ€° MATHEUS DA CONCEIÃƒâ€¡ÃƒÆ’O;SÃƒâ€œCIO ADMINISTRADOR;6;28/04/1999
333239;1,67201E+12;SISTEMA PREVSAUDE DENTAL LTDA;PREVTOP;Odontologia de Grupo;AVENIDA DUQUE DE CAXIAS;1422;;CENTRO;Fortaleza;CE;60035111;85;35352200;;juridico@prevtop.com.br;LUCINEIDE ALVES DE MELO ALBUQUERQUE;SÃƒâ€œCIO ADMINSTRADOR;5;28/12/1998
402001;5,35E+13;SISTEMA TOTAL DE SAÃƒÅ¡DE LTDA.;STSAUDE - SISTEMA TOTAL DE SAUDE;Medicina de Grupo;RUA AURÃƒâ€°LIA;652;;VIILA ROMANA;SÃƒÂ£o Paulo;SP;5046000;11;38622980;38710257;cemesp@uol.com.br;SALIM NADER NETO;SOCIO ADMINISTRDOR;4;12/03/1999
352586;2,85202E+12;SISTEMAS E PLANOS DE SAÃƒÅ¡DE LTDA.;SISTEMAS;Medicina de Grupo;AV VIEIRA DE CARVALHO;172;9Ã‚Â° ANDAR;REPÃƒÅ¡BLICA;SÃƒÂ£o Paulo;SP;1210902;11;32241200;32241200;juridico@sistemasplanosdesaude.com.br;ROGÃƒâ€°RIO GUEDES COSTA;REPRESENTANTE LEGAL;4;17/12/1998
402095;6,44977E+11;SITO - SISTEMA INTEGRADO DE TRATAMENTO ODONTOLÃƒâ€œGICO LTDA;DENT SYSTEM;Odontologia de Grupo;RUA 14 DE JULHO;585;;VILA CONRADO;SÃƒÂ£o JoÃƒÂ£o da Boa Vista;SP;13870972;19;36331826;36331826;dentsystem@uol.com.br;FRANCISCO DE ASSIS ALMEIDA PEREIRA;SÃƒâ€œCIO ADMINISTRADOR;6;15/03/1999
420051;1,90E+13;SMART CARE SISTEMAS MÃƒâ€°DICOS E ODONTOLÃƒâ€œGICOS LTDA.;SMARTCARE ODONTOLOGIA;Odontologia de Grupo;Alameda Santos;1827;11Ã‚Âº Andar, Sala 111;Cerqueira Cesar;SÃƒÂ£o Paulo;SP;1419100;11;30169402;;ricardo.queiroz@bluemedsaude.com.br;RICARDO GUIMARÃƒÆ’ES DE QUEIROZ;ADMINISTRADOR;5;03/02/2016
423947;5,01E+13;SMILES ODONTO LTDA.;;Odontologia de Grupo;RUA DISTRITO FEDERAL;50;APT 902;CHACARA PAULISTA;MaringÃƒÂ¡;PR;87005100;62;999439494;;rafael_maistro@hotmail.com;EZEQUIAS MAISTRO;SOCIO ADMINISTRADOR;;25/03/2024
326500;5,07E+13;SOBAM CENTRO MÃƒâ€°DICO HOSPITALAR S.A.;SOBAM CENTRO MÃƒâ€°DICO HOSPITALAR S.A.;Medicina de Grupo;RUA VINTE E TRES DE MAIO;790;1Ã‚Âº ANDAR;VIANELO;JundiaÃƒÂ­;SP;13207070;11;45831233;45831235;marcia.miranda@anacostasaude.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE;5;21/12/1998
415898;8,05682E+12;SOCIEDADE BENECAP DE ASSISTÃƒÅ NCIA Ãƒâ‚¬ SAÃƒÅ¡DE;BENECAP SAUDE;Medicina de Grupo;SCRS  QD 508 BLOCO B LOJA 25;25;;ASA SUL;BrasÃƒÂ­lia;DF;70351550;61;33483400;33483422;benecap@benecap.com.br;WALTER PAES LANDIM RIBEIRO;PRESIDENTE;4;26/12/2006
413721;1,66E+13;SOCIEDADE BENEFICENTE DEZOITO DE JULHO;SOCIEDADE BENEFICENTE DEZOITO DE JULHO;Medicina de Grupo;AVENIDA DEZOITO DE JULHO;227;;SÃƒÆ’O JOSÃƒâ€°;AlÃƒÂ©m ParaÃƒÂ­ba;MG;36660000;32;34624053;34624047;cbn@cbnassessoria.com.br;KIRCLE TAVARES BASTOS;REPRESENTANTE LEGAL;6;21/05/2001
411809;3,62739E+12;SOCIEDADE DE ASSISTÃƒÅ NCIA MÃƒâ€°DICA - SAMEISA;SAMEISA ;AutogestÃƒÂ£o;AV. FRANCISCO MARTINS BASTOS ;80;;SANTA TEREZA ;Rio Grande;RS;96201650;53;32338240;;ivoklein@sameisa.com.br;IVO JOSE KLEIN;COORDENADOR ADMINISTRATIVO;4;27/07/2000
413941;4,06781E+12;SOCIEDADE DE ASSISTÃƒÅ NCIA ODONTOLOGICA DE GRUPO/RN - DENTAL MED CENTER/RN;DENTAL MED CENTER;Odontologia de Grupo;AVENIDA RIO BRANCO;440;;CENTRO;Natal;RN;59025000;84;32122256;31335798;dentalmedcenter@hotmail.com;LUCIANO OLIVEIRA DOS SANTOS;DIRETOR PRESIDENTE;5;19/06/2001
413372;9,22E+13;SOCIEDADE PORTUGUESA DE BENEFICÃƒÅ NCIA;SAUDE MAIOR;Filantropia;RUA ANDRADE NEVES;915;;CENTRO;Pelotas;RS;96020080;53;30252555;32782711;adm@saudemaior.com.br;CARLOS ALBERTO RAJÃƒÆ’O FRIO;PRESIDENTE;6;21/03/2001
416410;9,74E+13;SOCIODONTO PLANO DE ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA LTDA;ODONTOPLAN BH;Odontologia de Grupo;RUA GOITACAZES;375;SALA 1104;CENTRO;Belo Horizonte;MG;30190050;31;32263996;32263221;contato@socioodonto.com.br;ANDERSON GONÃƒâ€¡ALVES;SÃƒâ€œCIO ADMINISTRADOR;4;30/10/2007
423068;4,25E+13;SOLIDUS ADMINISTRADORA DE BENEFICIOS E SOLUCOES EM SAUDE LTDA;SOLIDUS ADMINISTRADORA DE BENEFICIOS;Administradora de BenefÃƒÂ­cios;Rua Monsenhor Aderbal Miranda;875;sala 02;BrasÃƒÂ­lia;Feira de Santana;BA;44088180;71;34865825;;contato@solidusadministradora.com.br;SIDNEY SILVA SANTOS;SÃƒÂ³cio administrador;;22/11/2021
415871;7,39E+13;SOLIMEO ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA LTDA.;SOLIDENTE;Odontologia de Grupo;RUA DR ANGELO VITA;304;B (FUNDOS);TATUAPE;SÃƒÂ£o Paulo;SP;3069000;11;22944252;20918794;administracao@solidente.com;CARLOS EDUARDO SOLIMEO;SOCIO;3;19/12/2006
422291;2,53E+13;SOLUTIONS ADMINISTRADORA DE BENEFICIOS LTDA;SOLUTIONS ADMINISTRADORA;Administradora de BenefÃƒÂ­cios;RUA SETE DE SETEMBRO;92;SALA 2208, GALERIA MASSON;CENTRO;Rio de Janeiro;RJ;20050002;21;25337884;;ouvidoria@solutionsbeneficios.com.br;MARCELO PINTO CRAVO;Representante Legal;6;27/07/2020
424293;5,83E+13;SOLUÃƒâ€¡ÃƒÆ’O ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de BenefÃƒÂ­cios;RUA DA ASSEMBLEIA;10;SALA 3517;CENTRO;Rio de Janeiro;RJ;20011901;21;9601788598;;thiago@unimedicasaude.com;ALEXANDRE RODRIGUES DA SILVA;ADMINISTRADOR;;27/01/2025
424153;5,47E+13;SOMA ADMINISTRADORA DE BENEFICIOS LTDA ;SOMA ADMINISTRADORA ;Administradora de BenefÃƒÂ­cios;AVENIDA RIO BRANCO;26;SBL;CENTRO;Rio de Janeiro;RJ;20090001;31;91159750;;TOPBRAS@TOPBRAS.COM.BR;CLAUDNEY DOS SANTOS BARBOSA;SOCIO ADMINISTRADOR ;;30/07/2024
403245;8,95E+13;SOPREVI SERVIÃƒâ€¡O ODONTOLÃƒâ€œGICO PREVENTIVO INTEGRADO LTDA;SOPREVI SAÃƒÅ¡DE BUCAL;Odontologia de Grupo;RUA QUINTINO BOCAIÃƒÅ¡VA;694;CJ 708;MOINHOS DE VENTO;Porto Alegre;RS;90440050;5;133316151;133316151;soprevi@soprevi.com.br;DANUSA QUEIROZ DE CARVALHO;SÃƒâ€œCIA-GERENTE;4;12/03/1999
419524;1,93E+13;SORRIDEN CONVÃƒÅ NIOS ODONTOLÃƒâ€œGICOS S.A.;SORRIDEN;Odontologia de Grupo;ALAMEDA RIO NEGRO;500;CONJUNTO 305 - TORRE 2;ALPHAVILLE;Barueri;SP;6454000;11;31815021;;ouvidoria@sorriden.com.br;CLEBER SOARES DE SOUZA;REPRESENTANTE;4;22/09/2014
421472;2,89E+13;SORRISO STUDIO PLANO DE SAUDE LTDA;SORRISO STUDIO;Odontologia de Grupo;RUA FORTUNATO;286;;VILA BUARQUE;SÃƒÂ£o Paulo;SP;1224030;11;985457335;;sorrisostudioplanos@gmail.com;MARCIA REGINA GROMOSKI VILELA;sÃƒÂ³cio administrador;4;09/10/2018
423289;4,56E+13;SPECIAL CARE PLANOS ODONTOLOGICOS LTDA;SPECIAL CARE PLANOS ODONTOLOGICOS;Odontologia de Grupo;Rua Dronsfield ;423;sala 02;Lapa;SÃƒÂ£o Paulo;SP;5074000;11;36478477;;specialcareplanos@gmail.com;MARCO ANTONIO DA FONSECA;Administrador ;;26/08/2022
6246;1,68505E+12;SUL AMERICA COMPANHIA DE SEGURO SAÃƒÅ¡DE;;Seguradora Especializada em SaÃƒÂºde;RUA DO PASSEIO;42;6Ã‚Âº PAVIMENTO;CENTRO;Rio de Janeiro;RJ;20021290;11;37797400;;atendeans@sulamerica.com.br;RAQUEL REIS CORREA;REPRESENTANTE;1;16/12/1998
417815;1,20E+13;SUL AMÃƒâ€°RICA ODONTOLÃƒâ€œGICO S/A;;Odontologia de Grupo;ALAMEDA SANTOS;2.101;5Ã‚Âº ANDAR;CERQUEIRA CÃƒâ€°SAR;SÃƒÂ£o Paulo;SP;1419911;11;37797400;;atendeans@sulamerica.com.br;RAQUEL REIS CORREA;DIRETORA PRESIDENTE;1;24/01/2011
477;4,72E+13;SUL AMÃƒâ€°RICA SEGURADORA DE SAÃƒÅ¡DE S.A.;;Seguradora Especializada em SaÃƒÂºde;AVENIDA MOEMA ;300;LOJA 01 e 02;MOEMA;SÃƒÂ£o Paulo;SP;4077020;11;31561770;31561914;andrek@sompo.com.br;RAQUEL REIS CORREA;REPRESENTANTE;4;03/09/2001
416428;2,8666E+12;SUL AMÃƒâ€°RICA SERVIÃƒâ€¡OS DE SAÃƒÅ¡DE S.A.;;Medicina de Grupo;ALAMEDA SANTOS ;2.101;4Ã‚Âº ANDAR;CERQUEIRA CÃƒâ€°SAR;SÃƒÂ£o Paulo;SP;1419911;11;37797400;37795848;atendeans@sulamerica.com.br;RAQUEL REIS CORREA;DIRETORA PRESIDENTE;1;31/10/2007
423718;4,98E+13;SUL DO PARÃƒÂ LTDA;SUL DO PARÃƒÂ;Medicina de Grupo;Q CINCO;7;FOLHA CSII 30 LOTE G06 E G07;NOVA MARABÃƒÂ;MarabÃƒÂ¡;PA;68507370;94;81907000;;contabilidade@suldoparasaude.com.br;MARCELO FERREIRA BEZERRA;ADMINISTRADOR;5;02/10/2023
338346;9,07E+13;SULMED - ASSISTÃƒÅ NCIA MÃƒâ€°DICA LTDA;SULMED;Medicina de Grupo;AV INDEPENDENCIA;386;;INDEPENDÃƒÅ NCIA;Porto Alegre;RS;90035070;51;32201000;32249338;sulmed@sulmed.com.br;JOAO PEDRO BUENO TELLES;REPRESENTANTE;4;16/12/1998
421405;3,05E+13;SUPERMED ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA.;;Administradora de BenefÃƒÂ­cios;RUA LAURO MULLER;116;SALAS 3101, 3107 E 3108;BOTAFOGO;Rio de Janeiro;RJ;22290160;;;;vcamarafilho@gmail.com;ARISTIDES DA SILVA DANTAS NETO;REPRESENTANTE LEGAL;4;19/07/2018
319180;6,36975E+11;SÃƒÆ’O DOMINGOS SAÃƒÅ¡DE- ASSISTÃƒÅ NCIA MÃƒâ€°DICA  LTDA;SÃƒÆ’O DOMINGOS SAÃƒÅ¡DE;Medicina de Grupo;RUA TREZE DE MAIO;1.437;;CENTRO;Catanduva;SP;15800010;17;35317777;35317777;sds@saodomingossaude.com.br;JOSÃƒâ€° RENATO PIZARRO;PRESIDENTE;6;16/12/1998
403962;3,09823E+12;SÃƒÆ’O FRANCISCO ASSISTÃƒÅ NCIA MÃƒâ€°DICA LTDA;HGU SAÃƒÅ¡DE;Medicina de Grupo;AV. DR. FERNANDO GOES;1076;;CENTRO;Petrolina;PE;56304020;8;738668250;738668250;hgusaude@hgusaude.com.br;GILBERTO ANTÃƒâ€NIO MACIEL DUQUE PORTO;Socio / Diretor Ã‚Â¿ ADM/ financeiro;5;28/04/1999
344362;9,65E+13;SÃƒÆ’O LUCAS SAÃƒÅ¡DE S/A;HAPVIDA NOTREDAME SAO PAULO;Medicina de Grupo;AV. BRASIL;1530;;SANTO ANTONIO;Americana;SP;13465770;19;34771000;34771004;ans@intermedica.com.br;LUIZ CELSO DIAS LOPES;REPRESENTANTE LEGAL;5;23/12/1998
421740;3,10E+13;TECBEN ADMINISTRADORA DE BENEFICIOS LTDA.;;Administradora de BenefÃƒÂ­cios;AV PAULISTA;453;2Ã‚Âº ANDAR, CONJUNTOS 21,22 E 24;BELA VISTA;SÃƒÂ£o Paulo;SP;1311000;11;31499974;;ouvidoria@tecbeneficios.com.br;MARCELA SALDANHA SOARES LOPES;RESPONSÃƒÂVEL TÃƒâ€°CNICA;1;22/05/2019
316849;4,25E+13;TELOS - FUNDAÃƒâ€¡ÃƒÆ’O EMBRATEL DE SEGURIDADE SOCIAL;TELOS - FUNDAÃƒâ€¡ÃƒÆ’O EMBRATEL DE SEGURIDADE SOCIAL;AutogestÃƒÂ£o;AV PRESIDENTE VARGAS;290;;CENTRO;Rio de Janeiro;RJ;20071000;2;121216000;121216006;prousselet@telos.org.br;PATRICIA BOEHME ROUSSELET;REPRESENTANTE;6;17/12/1998
422771;4,14E+13;TEMPO MED PLANO DE SAUDE LTDA;TEMPO MED;Medicina de Grupo;Rua Deputado AntÃƒÂ´nio Edu Vieira;1414;;Saco dos LimÃƒÂµes/Pantanal;FlorianÃƒÂ³polis;SC;88040245;41;33000263;;ger.adm@clinicatempo.com.br;PAULO POLI NETO;ADMINISTRADOR NÃƒÆ’O SÃƒâ€œCIO;6;19/05/2021
412759;3,77315E+12;TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA;NORDESTE SAÃƒÅ¡DE EMPRESARIAL;Medicina de Grupo;AVENIDA CONCÃƒÅ NTRICA;4;;JARDIM BRASÃƒÂLIA;CamaÃƒÂ§ari;BA;42803001;71;31866106;;ouvidoria@nordestesaude.com.br;ELÃƒÂDIO GALDINO VILELA DE SOUZA;ADMINISTRADOR;5;15/12/2000
416193;7,89801E+12;TOP DOCTOR'S ODONTOLOGIA LTDA;;Odontologia de Grupo;RUA BORGES LAGOA;314;;VILA CLEMENTINO;SÃƒÂ£o Paulo;SP;4038000;11;22151538;50812909;;RODRIGO VILELA;SÃƒâ€œCIO;4;11/07/2007
417114;1,04E+13;TOPDONTO OPERADORA DE PLANO ODONTOLÃƒâ€œGICO LTDA;TOPDONTO;Odontologia de Grupo;AVENIDA PROFESSOR MAGALHÃƒÆ’ES NETO;1856;9Ã‚Âº ANDAR - S. 909 - ED TK TOWER;PITUBA;Salvador;BA;41810012;71;33111000;33111025;fincanceiro@topdonto.com.br;NELSON GONCALVES DE SENA;DIRETOR COMERCIAL;5;03/11/2009
423548;4,31E+13;TOTAL ASSISTÃƒÅ NCIA MÃƒâ€°DICA HOSPITALAR LTDA;AURA SAÃƒÅ¡DE;Medicina de Grupo;AVENIDA RAJA GABAGLIA;3502;2Ã‚Âº ANDAR - SALA 201;ESTORIL;Belo Horizonte;MG;30494310;31;99924317;;sergio.araujo@operadoraaurasaude.com.br;SORMANE ALVES PARREIRA;REPRESENTANTE LEGAL;;13/03/2023
423017;4,22E+13;TOTAL SAUDE  ADMINISTRADORA DE BENEFICIOS EIRELI;;Administradora de BenefÃƒÂ­cios;AVENIDA NOSSA SENHORA DA PENHA ;1495.0;LOJA 25;SANTA LUCIA ;VitÃƒÂ³ria;ES;29056245;21;997052004;;HENRIQUE@AMCONTADORES.COM.BR;SERGIO SOARES DE ARAUJO;SOCIO - ADMINISTRADOR;;08/09/2021
422827;3,70E+13;TRINO - ALIANCA FILANTRÃƒâ€œPICA DE ASSISTÃƒÅ NCIA E INTEGRAÃƒâ€¡ÃƒÆ’O PARA O DESENVOLVIMENTO DA SAUDE;TRINO;Medicina de Grupo;Rua Manoel Braga Machado;83;Anexo Loja;FerroviÃƒÂ¡rios;Cachoeiro de Itapemirim;ES;29308065;;;;trino@trinoonline.com.br;VINICIUS RIBEIRO DE FREITAS;Superintendente;;29/07/2021
412252;4,00222E+12;TUIUIU ADMINISTRADORES DE PLANO DE SAUDE LTDA;TUIUIU ADM. DE PLANO DE SAUDE LTDA;Medicina de Grupo;RUA CARVALHO ALVIM;261;PARTE;TIJUCA;Rio de Janeiro;RJ;20510100;21;32949000;;memorialtijuca@memorialtijuca.com.br;FELIPE D'AZEVEDO LEMOS;REPRESENTANTE JUNTO A ANS;4;14/09/2000
418528;1,52E+13;UNIBEN ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA;UNIBEN ADMINISTRADORA DE BENEFÃƒÂCIOS;Administradora de BenefÃƒÂ­cios;RODOVIA BR 040;66;KM 800;CONDOMÃƒÂNIO EMPRESARIAL PARK SU;Matias Barbosa;MG;36120000;32;32364528;;ans@unibenjf.com.br;PAULO CESAR JORGE JUNIOR;SÃƒÂ³CIO-ADMINISTRADOR;3;24/05/2012
420107;2,43E+13;UNICONSULT - ADMINISTRADORA DE BENEFICIOS E SERVICOS LTDA;;Administradora de BenefÃƒÂ­cios;AVENIDA PAULISTA;1.106;12Ã‚Âº ANDAR - PARTE;BELA VISTA;SÃƒÂ£o Paulo;SP;1310914;11;31923974;;juridico_regulatorio_5@qualicorp.com.br;MAURICIO DA SILVA LOPES;REPRESENTANTE;4;02/05/2016
